datetime,km,sentido_via,acidente
2023-06-19 17:00:00,144.5,Decrescente,0.0
2023-07-27 13:00:00,141.5,Crescente,0.0
2023-11-26 07:00:00,144.7,Crescente,0.0
2023-02-18 00:00:00,146.5,Crescente,0.0
2023-05-06 11:00:00,145.3,Crescente,0.0
2023-01-03 20:00:00,145.3,Decrescente,0.0
2023-08-07 15:00:00,146.5,Crescente,0.0
2023-12-12 20:00:00,141.4,Crescente,0.0
2023-01-18 04:00:00,146.1,Crescente,0.0
2023-06-05 01:00:00,139.0,Decrescente,0.0
2023-11-03 17:00:00,145.1,Crescente,0.0
2023-11-08 03:00:00,139.7,Crescente,0.0
2023-07-18 09:00:00,143.7,Crescente,0.0
2023-09-01 20:00:00,146.5,Crescente,0.0
2023-01-14 13:00:00,143.9,Crescente,0.0
2023-03-02 12:00:00,143.2,Crescente,0.0
2023-12-31 08:00:00,139.1,Decrescente,0.0
2023-03-10 03:00:00,144.2,Crescente,0.0
2023-03-07 11:00:00,148.0,Decrescente,0.0
2023-05-08 00:00:00,145.2,Decrescente,0.0
2023-10-11 11:00:00,140.0,Crescente,0.0
2023-12-06 18:00:00,147.1,Crescente,0.0
2023-06-08 08:00:00,142.4,Crescente,0.0
2023-03-08 19:00:00,141.6,Decrescente,0.0
2023-05-09 14:00:00,144.3,Crescente,0.0
2023-05-05 00:00:00,148.5,Decrescente,0.0
2023-01-11 13:00:00,147.5,Decrescente,0.0
2023-01-11 09:00:00,140.4,Crescente,0.0
2023-04-29 07:00:00,139.4,Decrescente,0.0
2023-11-05 15:00:00,146.9,Decrescente,0.0
2023-10-04 16:00:00,139.8,Crescente,0.0
2023-10-23 04:00:00,141.1,Decrescente,0.0
2023-06-25 23:00:00,144.1,Decrescente,0.0
2023-11-24 14:00:00,140.2,Decrescente,0.0
2023-04-24 11:00:00,148.2,Decrescente,0.0
2023-01-30 05:00:00,148.4,Crescente,0.0
2023-10-28 14:00:00,139.2,Crescente,0.0
2023-11-26 22:00:00,147.5,Crescente,0.0
2023-04-04 15:00:00,141.8,Crescente,0.0
2023-06-18 02:00:00,140.5,Decrescente,0.0
2023-04-20 01:00:00,142.2,Crescente,0.0
2023-06-17 05:00:00,139.8,Decrescente,0.0
2023-03-08 15:00:00,144.8,Crescente,0.0
2023-02-05 10:00:00,146.7,Decrescente,0.0
2023-11-27 22:00:00,139.8,Crescente,0.0
2023-05-29 20:00:00,147.3,Decrescente,0.0
2023-03-01 08:00:00,148.8,Decrescente,0.0
2023-02-23 11:00:00,146.4,Decrescente,0.0
2023-06-05 14:00:00,142.0,Crescente,0.0
